Workload,SolutionID,Tensor,ILP_Value,Trace_Value
VGG_Conv5_1,4,input,15.999999999999995,16
VGG_Conv5_1,4,weight,143.999999999779,144
VGG_Conv5_1,4,output,1.0,1
VGG_Conv5_1,4,max,143.999999999779,144
VGG_Conv5_1,5,input,15.999999999999995,16
VGG_Conv5_1,5,weight,143.999999999779,144
VGG_Conv5_1,5,output,1.0,1
VGG_Conv5_1,5,max,143.999999999779,144
VGG_Conv5_1,6,input,15.999999999999995,16
VGG_Conv5_1,6,weight,143.999999999779,144
VGG_Conv5_1,6,output,1.0,1
VGG_Conv5_1,6,max,143.999999999779,144
VGG_Conv5_1,7,input,16.0,16
VGG_Conv5_1,7,weight,144.0,144
VGG_Conv5_1,7,output,1.0,1
VGG_Conv5_1,7,max,144.0,144
VGG_Conv5_1,8,input,15.999999999999075,16
VGG_Conv5_1,8,weight,144.0,144
VGG_Conv5_1,8,output,1.0,1
VGG_Conv5_1,8,max,144.0,144
VGG_Conv5_1,9,input,15.9999999999993,16
VGG_Conv5_1,9,weight,144.0,144
VGG_Conv5_1,9,output,1.0,1
VGG_Conv5_1,9,max,144.0,144
VGG_Conv5_1,10,input,15.999999999998865,16
VGG_Conv5_1,10,weight,144.0,144
VGG_Conv5_1,10,output,1.0,1
VGG_Conv5_1,10,max,144.0,144
VGG_Conv5_1,11,input,16.000000000000117,16
VGG_Conv5_1,11,weight,143.999999999779,144
VGG_Conv5_1,11,output,1.0,1
VGG_Conv5_1,11,max,143.999999999779,144
VGG_Conv5_1,12,input,16.000000000000128,16
VGG_Conv5_1,12,weight,143.999999999779,144
VGG_Conv5_1,12,output,1.0,1
VGG_Conv5_1,12,max,143.999999999779,144
VGG_Conv5_1,13,input,16.000000000000128,16
VGG_Conv5_1,13,weight,143.999999999779,144
VGG_Conv5_1,13,output,1.0,1
VGG_Conv5_1,13,max,143.999999999779,144
VGG_Conv5_1,14,input,15.999999999999995,16
VGG_Conv5_1,14,weight,143.999999999779,144
VGG_Conv5_1,14,output,1.0,1
VGG_Conv5_1,14,max,143.999999999779,144
VGG_Conv5_1,15,input,15.999999999999995,16
VGG_Conv5_1,15,weight,143.999999999779,144
VGG_Conv5_1,15,output,1.0,1
VGG_Conv5_1,15,max,143.999999999779,144
VGG_Conv5_1,16,input,16.0,16
VGG_Conv5_1,16,weight,144.0,144
VGG_Conv5_1,16,output,1.0,1
VGG_Conv5_1,16,max,144.0,144
VGG_Conv5_1,17,input,15.999999999999131,16
VGG_Conv5_1,17,weight,144.0,144
VGG_Conv5_1,17,output,1.0,1
VGG_Conv5_1,17,max,144.0,144
VGG_Conv5_1,18,input,15.999999999998865,16
VGG_Conv5_1,18,weight,144.0,144
VGG_Conv5_1,18,output,1.0,1
VGG_Conv5_1,18,max,144.0,144
VGG_Conv5_1,19,input,15.999999999999995,16
VGG_Conv5_1,19,weight,143.999999999779,144
VGG_Conv5_1,19,output,1.0,1
VGG_Conv5_1,19,max,143.999999999779,144
ResNet_L1,0,input,7.9999999999999964,8
ResNet_L1,0,weight,7.999997613083454,8
ResNet_L1,0,output,0.9999999999999996,1
ResNet_L1,0,max,7.9999999999999964,8
ResNet_L1,1,input,7.999999999999996,8
ResNet_L1,1,weight,7.999997613083454,8
ResNet_L1,1,output,0.999999999999999,1
ResNet_L1,1,max,7.999999999999996,8
ResNet_L1,2,input,7.999999999999996,8
ResNet_L1,2,weight,7.999997613083454,8
ResNet_L1,2,output,0.9999999999999996,1
ResNet_L1,2,max,7.999999999999996,8
ResNet_L1,3,input,7.999999999999996,8
ResNet_L1,3,weight,7.999997613083454,8
ResNet_L1,3,output,0.9999999999999989,1
ResNet_L1,3,max,7.999999999999996,8
ResNet_L1,4,input,7.999999999999996,8
ResNet_L1,4,weight,7.999997613083454,8
ResNet_L1,4,output,1.0000000000000009,1
ResNet_L1,4,max,7.999999999999996,8
ResNet_L1,5,input,7.999999999999996,8
ResNet_L1,5,weight,7.999997613083454,8
ResNet_L1,5,output,0.9999999999999984,1
ResNet_L1,5,max,7.999999999999996,8
ResNet_L1,6,input,7.999999999999993,8
ResNet_L1,6,weight,7.999997613083451,8
ResNet_L1,6,output,0.999999999999999,1
ResNet_L1,6,max,7.999999999999993,8
ResNet_L1,7,input,7.999999999999996,8
ResNet_L1,7,weight,7.999997613083454,8
ResNet_L1,7,output,0.9999999999999984,1
ResNet_L1,7,max,7.999999999999996,8
ResNet_L1,8,input,7.999999999999993,8
ResNet_L1,8,weight,7.99999761308345,8
ResNet_L1,8,output,0.999999999999998,1
ResNet_L1,8,max,7.999999999999993,8
ResNet_L1,9,input,7.999999999999993,8
ResNet_L1,9,weight,7.999997613083455,8
ResNet_L1,9,output,1.0000000000000024,1
ResNet_L1,9,max,7.999999999999993,8
ResNet_L1,10,input,7.999999999999993,8
ResNet_L1,10,weight,7.99999761308345,8
ResNet_L1,10,output,0.9999999999999984,1
ResNet_L1,10,max,7.999999999999993,8
ResNet_L1,11,input,7.999999999999993,8
ResNet_L1,11,weight,7.99999761308345,8
ResNet_L1,11,output,0.9999999999999996,1
ResNet_L1,11,max,7.999999999999993,8
ResNet_L1,12,input,7.999999999999992,8
ResNet_L1,12,weight,7.999997613083454,8
ResNet_L1,12,output,0.999999999999999,1
ResNet_L1,12,max,7.999999999999992,8
ResNet_L1,13,input,7.999999999999993,8
ResNet_L1,13,weight,7.999997613083454,8
ResNet_L1,13,output,1.0000000000000029,1
ResNet_L1,13,max,7.999999999999993,8
ResNet_L1,14,input,7.999999999999993,8
ResNet_L1,14,weight,7.999997613083455,8
ResNet_L1,14,output,1.0000000000000009,1
ResNet_L1,14,max,7.999999999999993,8
ResNet_L1,15,input,7.999999999999991,8
ResNet_L1,15,weight,7.999997613083451,8
ResNet_L1,15,output,0.9999999999999984,1
ResNet_L1,15,max,7.999999999999991,8
ResNet_L1,16,input,7.999999999999993,8
ResNet_L1,16,weight,7.99999761308345,8
ResNet_L1,16,output,1.0000000000000022,1
ResNet_L1,16,max,7.999999999999993,8
ResNet_L1,17,input,8.000000000000695,8
ResNet_L1,17,weight,2.2500000000117835,3
ResNet_L1,17,output,0.9999999999997071,1
ResNet_L1,17,max,8.000000000000695,8
ResNet_L1,18,input,8.00000000000076,8
ResNet_L1,18,weight,2.250000000014014,3
ResNet_L1,18,output,1.0000000000013216,1
ResNet_L1,18,max,8.00000000000076,8
ResNet_L1,19,input,7.999999999998133,8
ResNet_L1,19,weight,2.2500000000145604,3
ResNet_L1,19,output,1.0000000000017566,1
ResNet_L1,19,max,7.999999999998133,8
ResNet_Stride2,0,input,7.9999999999999964,8
ResNet_Stride2,0,weight,4.499999999160081,5
ResNet_Stride2,0,output,0.9999999999999991,1
ResNet_Stride2,0,max,7.9999999999999964,8
ResNet_Stride2,1,input,7.9999999999999964,8
ResNet_Stride2,1,weight,4.499999999160081,5
ResNet_Stride2,1,output,0.9999999999999991,1
ResNet_Stride2,1,max,7.9999999999999964,8
ResNet_Stride2,2,input,7.999999999999995,8
ResNet_Stride2,2,weight,4.499999999160081,5
ResNet_Stride2,2,output,1.0000000000000002,1
ResNet_Stride2,2,max,7.999999999999995,8
ResNet_Stride2,3,input,7.9999999999999964,8
ResNet_Stride2,3,weight,4.499999999160081,5
ResNet_Stride2,3,output,0.9999999999999981,1
ResNet_Stride2,3,max,7.9999999999999964,8
ResNet_Stride2,4,input,7.999999999999997,8
ResNet_Stride2,4,weight,4.499999999160081,5
ResNet_Stride2,4,output,1.0000000000000009,1
ResNet_Stride2,4,max,7.999999999999997,8
ResNet_Stride2,5,input,7.999999999999997,8
ResNet_Stride2,5,weight,4.499999999160081,5
ResNet_Stride2,5,output,1.000000000000001,1
ResNet_Stride2,5,max,7.999999999999997,8
ResNet_Stride2,6,input,7.999999999999997,8
ResNet_Stride2,6,weight,4.499999999160081,5
ResNet_Stride2,6,output,1.000000000000001,1
ResNet_Stride2,6,max,7.999999999999997,8
ResNet_Stride2,7,input,7.999999999999997,8
ResNet_Stride2,7,weight,4.499999999160081,5
ResNet_Stride2,7,output,1.000000000000001,1
ResNet_Stride2,7,max,7.999999999999997,8
ResNet_Stride2,8,input,7.999999999999997,8
ResNet_Stride2,8,weight,4.499999999160081,5
ResNet_Stride2,8,output,1.000000000000001,1
ResNet_Stride2,8,max,7.999999999999997,8
ResNet_Stride2,9,input,7.9999999999999964,8
ResNet_Stride2,9,weight,4.499999999160081,5
ResNet_Stride2,9,output,1.000000000000001,1
ResNet_Stride2,9,max,7.9999999999999964,8
ResNet_Stride2,10,input,7.999999999999997,8
ResNet_Stride2,10,weight,4.499999999160081,5
ResNet_Stride2,10,output,1.000000000000001,1
ResNet_Stride2,10,max,7.999999999999997,8
ResNet_Stride2,11,input,7.9999999999999964,8
ResNet_Stride2,11,weight,4.499999999160081,5
ResNet_Stride2,11,output,1.000000000000001,1
ResNet_Stride2,11,max,7.9999999999999964,8
ResNet_Stride2,12,input,7.999999999999997,8
ResNet_Stride2,12,weight,4.499999999160081,5
ResNet_Stride2,12,output,1.000000000000001,1
ResNet_Stride2,12,max,7.999999999999997,8
ResNet_Stride2,13,input,7.999999999999997,8
ResNet_Stride2,13,weight,4.499999999160081,5
ResNet_Stride2,13,output,1.0000000000000007,1
ResNet_Stride2,13,max,7.999999999999997,8
ResNet_Stride2,14,input,7.999999999999997,8
ResNet_Stride2,14,weight,4.499999999160081,5
ResNet_Stride2,14,output,1.0000000000000007,1
ResNet_Stride2,14,max,7.999999999999997,8
ResNet_Stride2,15,input,7.9999999999994875,8
ResNet_Stride2,15,weight,4.499999999160081,5
ResNet_Stride2,15,output,1.0000000000008176,1
ResNet_Stride2,15,max,7.9999999999994875,8
ResNet_Stride2,16,input,7.999999999999491,8
ResNet_Stride2,16,weight,4.499999999160285,5
ResNet_Stride2,16,output,1.0000000000031044,1
ResNet_Stride2,16,max,7.999999999999491,8
ResNet_Stride2,17,input,7.999999999999666,8
ResNet_Stride2,17,weight,4.499999999160081,5
ResNet_Stride2,17,output,1.0000000000033007,1
ResNet_Stride2,17,max,7.999999999999666,8
ResNet_Stride2,18,input,7.999999999999704,8
ResNet_Stride2,18,weight,4.499999999160446,5
ResNet_Stride2,18,output,1.0000000000033038,1
ResNet_Stride2,18,max,7.999999999999704,8
ResNet_Stride2,19,input,8.0,8
ResNet_Stride2,19,weight,4.499999999160832,5
ResNet_Stride2,19,output,1.0000000000008193,1
ResNet_Stride2,19,max,8.0,8
ResNet_1x1_Proj,0,input,0.9999999999983333,1
ResNet_1x1_Proj,0,weight,3.9999999999983333,4
ResNet_1x1_Proj,0,output,3.062499951735743,4
ResNet_1x1_Proj,0,max,3.9999999999983333,4
ResNet_1x1_Proj,1,input,1.0000000000000004,1
ResNet_1x1_Proj,1,weight,4.000000000000001,4
ResNet_1x1_Proj,1,output,3.0624999999960014,4
ResNet_1x1_Proj,1,max,4.000000000000001,4
ResNet_1x1_Proj,2,input,1.0000000000000004,1
ResNet_1x1_Proj,2,weight,4.000000000000001,4
ResNet_1x1_Proj,2,output,3.06249995173741,4
ResNet_1x1_Proj,2,max,4.000000000000001,4
ResNet_1x1_Proj,3,input,1.0000000000000004,1
ResNet_1x1_Proj,3,weight,3.9999999999994746,4
ResNet_1x1_Proj,3,output,3.06249995173741,4
ResNet_1x1_Proj,3,max,3.9999999999994746,4
ResNet_1x1_Proj,4,input,1.0000000000000002,1
ResNet_1x1_Proj,4,weight,4.000000000000001,4
ResNet_1x1_Proj,4,output,3.0624999999960014,4
ResNet_1x1_Proj,4,max,4.000000000000001,4
ResNet_1x1_Proj,5,input,1.0000000000000007,1
ResNet_1x1_Proj,5,weight,4.000000000000002,4
ResNet_1x1_Proj,5,output,3.0624999999960014,4
ResNet_1x1_Proj,5,max,4.000000000000002,4
ResNet_1x1_Proj,6,input,1.0000000000000007,1
ResNet_1x1_Proj,6,weight,4.000000000000001,4
ResNet_1x1_Proj,6,output,3.0624999999960014,4
ResNet_1x1_Proj,6,max,4.000000000000001,4
ResNet_1x1_Proj,7,input,0.9999999999992254,1
ResNet_1x1_Proj,7,weight,4.000000000000421,4
